Order ID,Order_Date,Order_Mode,Customer_ID,City,Postal_Code,Country,Region,Product_ID,Product_Name,Category,Segment,Sub_Category,Sales,Cost_Price,Quantity,Discount
ABA-263633,1/19/2024 0:00,In-Store,OJ022123,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N59WQTVSAX74T39E8GG1F,Portable Bluetooth Keyboard,Electronics,Electronics,Computer Accessories,39.99,11.997,8,0.34
AEY-635336,10/3/2023 0:00,In-Store,AF068364,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N59AYMS5XZS8ANQ4JCV3V,Vegan Mac & Cheese,Food , Frozen,Frozen Meals,8.99,2.697,10,0.36
AHG-609649,4/27/2023 0:00,Online,TA007457,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N53KJEBVF4YQHG9P971C1,Foldable Electric Scooter,Outdoor,Outdoor,Outdoor Accessories,348.99,104.447,8,0.2
AJF-502157,1/29/2023 0:00,In-Store,RU084894,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NT4ZZ7W1K4N95CYZYTANF,Nutty Quinoa Salad,Food , Salads,Grain Salads,4.24,1.746,19,0.03
ASC-799309,10/24/2024 0:00,In-Store,BH069063,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NC4NWZFD6Q40ZPNP4AD1X,Cauliflower Gnocchi,Food , Frozen Foods,Frozen Vegetarian Meals,3.59,1.077,19,0.34
ATH-765502,10/28/2023 0:00,In-Store,NN060679,Norton,S8,England,Yorkshire and the Humber,01JZ3NR2FKG04PANE275R3J1VZ,Pet Nail Clipper,Pets,Pets,Grooming Supplies,12.24,4.946,13,0.02
ATS-149771,12/20/2023 0:00,In-Store,EC073665,Norton,S8,England,Yorkshire and the Humber,01JZ3N52PJG04BX90BC27FD87C,Inflatable Paddle Board,Outdoor,Outdoor,Outdoor Recreation,348.99,104.447,6,0.12
AUT-098086,12/25/2023 0:00,Online,MN066756,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N5BPTKGHNAPNDYD527JQG,Portable Solar Generator,Outdoor,Outdoor,Outdoor Accessories,399.14,119.497,14,0.32
AXE-479970,2/20/2025 0:00,Online,GV013637,Norton,S8,England,Yorkshire and the Humber,01JZ3NT7Z33BQR3X2DW795HJT7,Mango Chunks,Food , Frozen Fruits,Frozen Fruits,6.31,2.956,8,0.04
AYJ-960218,2/19/2025 0:00,In-Store,FQ085678,Norton,S8,England,Yorkshire and the Humber,01JZ3NC9QMNKYCMXF37ZXBZ27V,Garlic & Herb Goat Cheese,Food , Dairy,Cheese,6.91,2.647,1,0.19
BAZ-306047,11/27/2024 0:00,Online,XX026724,Norton,S8,England,Yorkshire and the Humber,01JZ3NRAZS4ZF7J88VV13Q09D0,Pet Bed with Removable Cover,Pets,Pets,Pet Supplies,50.99,19.996,2,0.11
BEB-280499,5/6/2024 0:00,In-Store,ZP012067,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NQZPD4K75S5JXRHZ436CJ,Almond Butter Cups,Food , Snacks,Nut-Based Snacks,4.29,1.316,7,0.11
BFN-192626,11/1/2023 0:00,Online,RQ069631,Norton,S8,England,Yorkshire and the Humber,01JZ3NCFFCT0PQ3RXHXNVD01JC,Natural Fruit Snacks,Food , Snacks,Healthy Snacks,3.14,0.697,10,0.26
BHA-047910,6/10/2023 0:00,In-Store,LT006441,Norton,S8,England,Yorkshire and the Humber,01JZ3NR54GNP566953HCSRASNA,Plant-Based Protein Bars,Health,Health,Fitness & Nutrition,19.14,7.496,2,0
BIQ-602625,9/18/2024 0:00,Online,XY066839,Sheffield,S1,England,Yorkshire and the Humber,01JZ3NR2QSK8TSZDXPHYCYRMP7,Luxury Memory Foam Mattress Topper,Home,Home,Bedding & Linens,130.99,51.996,2,0.11
BKJ-714686,10/7/2023 0:00,Online,WI001565,Norton,S8,England,Yorkshire and the Humber,01JZ3NCBAVPF9Z0N7N2VGXASTF,Savory Oatmeal Cups,Food , Breakfast,Savory Breakfast Options,1.14,0.097,9,0
BRL-969101,9/1/2024 0:00,In-Store,SP051385,Norton,S8,England,Yorkshire and the Humber,01JZ3N5821R8KZDA4M2VB9J0CM,Garam Masala Spice Blend,Food , Spices,Regional Seasoning Blends,2.79,0.837,6,0.24
BRP-045688,6/15/2024 0:00,Online,YH085602,Sheffield,S1,England,Yorkshire and the Humber,01JZ3N57QRVTB4J02X408GHC2R,Adjustable Kitchen Broom Stand,Home,Home,Kitchen Accessories,14.99,4.497,3,0.24
BTC-245712,6/22/2024 0:00,Online,LO028977,Norton,S8,England,Yorkshire and the Humber,01JZ3N512GHNAJSF3HCCQ0PQYY,Flavored Popcorn Mix,Food , Snacks,Gourmet Snacks,2.99,0.897,4,0.24
BXK-647968,5/22/2023 0:00,In-Store,SQ055699,Norton,S8,England,Yorkshire and the Humber,01JZ3N58GF5KXAFGN2Y4N2DRVR,Gardening Kneeler and Seat,Garden,Garden,Garden Tools,39.99,11.997,5,0.31
